date,quantité,catégorie_produit,nom_client,longitude,latitude,type_transport,coût_transport
2021-01-01,1,Farine protéique pour alimentation humaine,(주) 브레인,126.665,36.6009,bateau,17.0
2021-01-01,2,Farine protéique pour alimentation humaine,(주) 브레인,126.665,36.6009,bateau,16.0
2021-01-01,3,Farine protéique pour alimentation humaine,(주) 브레인,126.665,36.6009,bateau,13.81
2021-01-01,4,Farine protéique pour alimentation humaine,(주) 브레인,126.665,36.6009,bateau,16.68
2021-01-01,5,Farine protéique pour alimentation humaine,(주) 브레인,126.665,36.6009,bateau,20.84
2021-01-01,1,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,14.0
2021-01-01,2,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,12.0
2021-01-01,3,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,11.0
2021-01-01,4,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,15.0
2021-01-01,5,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,12.0
2021-01-01,6,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,11.0
2021-01-01,7,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,16.0
2021-01-01,8,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,18.0
2021-01-01,9,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,13.0
2021-01-01,10,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,8.0
2021-01-01,11,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,18.0
2021-01-01,12,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,15.0
2021-01-01,13,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,14.0
2021-01-01,14,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,17.0
2021-01-01,15,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,11.0
2021-01-01,16,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,16.0
2021-01-01,17,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,18.0
2021-01-01,18,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,21.0
2021-01-01,20,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,9.0
2021-01-01,21,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,8.06
2021-01-01,22,Insectes en vrac,Adam & Bock AG,16.4,48.25,camion,11.4
2021-01-01,1,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,13.0
2021-01-01,2,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,20.0
2021-01-01,3,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,15.0
2021-01-01,4,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,22.0
2021-01-01,5,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,19.0
2021-01-01,6,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,11.0
2021-01-01,7,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,15.0
2021-01-01,8,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,13.0
2021-01-01,9,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,12.0
2021-01-01,10,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,15.0
2021-01-01,11,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,14.0
2021-01-01,12,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,15.0
2021-01-01,13,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,14.0
2021-01-01,14,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,15.0
2021-01-01,15,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,9.0
2021-01-01,16,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,13.0
2021-01-01,17,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,9.0
2021-01-01,18,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,20.0
2021-01-01,19,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,12.0
2021-01-01,20,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,14.0
2021-01-01,21,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,19.0
2021-01-01,22,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,17.0
2021-01-01,23,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,13.0
2021-01-01,25,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,15.0
2021-01-01,26,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,19.0
2021-01-01,27,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,12.0
2021-01-01,28,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,15.0
2021-01-01,31,Protéines d'insectes pour alimentation animale,De Oliveira,2.25,50.75,camion,14.0
2021-01-01,1,Ingrédients protéiques pour nutrition sportive,Ditschlerin AG,8.86704,50.23805,rail,19.0
2021-01-01,2,Ingrédients protéiques pour nutrition sportive,Ditschlerin AG,8.86704,50.23805,rail,16.0
2021-01-01,3,Ingrédients protéiques pour nutrition sportive,Ditschlerin AG,8.86704,50.23805,rail,10.0
2021-01-01,4,Ingrédients protéiques pour nutrition sportive,Ditschlerin AG,8.86704,50.23805,rail,15.0
2021-01-01,5,Ingrédients protéiques pour nutrition sportive,Ditschlerin AG,8.86704,50.23805,rail,14.0
2021-01-01,1,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,18.0
2021-01-01,2,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,16.0
2021-01-01,3,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,11.0
2021-01-01,4,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,19.0
2021-01-01,5,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,17.0
2021-01-01,6,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,26.0
2021-01-01,7,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,18.0
2021-01-01,8,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,14.0
2021-01-01,9,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,16.0
2021-01-01,10,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,13.0
2021-01-01,11,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,10.49
2021-01-01,12,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,18.0
2021-01-01,13,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,17.0
2021-01-01,14,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,22.0
2021-01-01,15,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,14.49
2021-01-01,16,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,15.56
2021-01-01,17,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,17.49
2021-01-01,18,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,21.0
2021-01-01,19,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,18.24
2021-01-01,20,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,20.7
2021-01-01,24,Protéines d'insectes pour alimentation animale,Eichenberger Ritter AG,6.10237,46.18396,rail,24.09
2021-01-01,1,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,13.0
2021-01-01,3,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,15.0
2021-01-01,4,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,12.0
2021-01-01,6,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,11.0
2021-01-01,7,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,17.0
2021-01-01,8,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,20.0
2021-01-01,9,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,16.0
2021-01-01,11,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,14.0
2021-01-01,12,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,13.0
2021-01-01,14,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,17.0
2021-01-01,15,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,11.0
2021-01-01,16,Farine protéique pour alimentation humaine,Fontaine,2.12213,48.8222,camion,16.0
