usine,produit,quantité,date,quantité_stock,quantite_expedié
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2021-01-01,0,0
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,26,2021-01-01,4,22
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,25,2021-01-01,8,21
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,25,2021-01-01,14,19
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,22,2021-01-01,18,18
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,20,2021-01-01,22,16
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,19,2021-01-01,26,15
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,19,2021-01-01,31,14
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,16,2021-01-01,34,13
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,31,2021-01-01,42,23
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,14,2021-01-01,44,12
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,11,2021-01-01,46,9
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,38,8
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,2,2021-01-01,33,7
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,7,2021-01-01,34,6
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,29,5
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,25,4
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,23,2
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,22,1
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,12,2021-01-01,23,11
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,23,0
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,33,2021-01-01,31,25
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,34,2021-01-01,37,28
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,18,2021-01-01,4,14
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,15,2021-01-01,6,13
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,15,2021-01-01,3,12
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,13,2021-01-01,5,11
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,11,2021-01-01,7,9
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,9,2021-01-01,7,8
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,8,2021-01-01,8,7
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,7,2021-01-01,9,6
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,28,2021-01-01,39,26
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,6,2021-01-01,8,5
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,1,2021-01-01,8,2
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,0,2021-01-01,7,1
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,0,2021-01-01,8,0
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,55,2021-01-01,54,40
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,48,2021-01-01,65,37
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,41,2021-01-01,71,35
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,39,2021-01-01,78,32
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,37,2021-01-01,86,29
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,5,2021-01-01,9,4
Entonova Brest Bioproduction Plant,Huile d'insectes,44,2021-01-01,10,34
Entonova Brest Bioproduction Plant,Huile d'insectes,43,2021-01-01,21,32
Entonova Brest Bioproduction Plant,Huile d'insectes,38,2021-01-01,29,30
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,29,0
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,7,2021-01-01,1,6
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,5,2021-01-01,1,5
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,5,2021-01-01,2,4
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,3,2021-01-01,0,3
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,2,2021-01-01,0,2
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,1,2021-01-01,0,1
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,2,0
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,28,1
Entonova Rotterdam Processing Hub,Barres protéinées,32,2021-01-01,8,24
Entonova Rotterdam Processing Hub,Barres protéinées,22,2021-01-01,10,20
Entonova Rotterdam Processing Hub,Barres protéinées,21,2021-01-01,13,18
Entonova Rotterdam Processing Hub,Barres protéinées,23,2021-01-01,19,17
Entonova Rotterdam Processing Hub,Barres protéinées,20,2021-01-01,23,16
Entonova Rotterdam Processing Hub,Barres protéinées,16,2021-01-01,24,15
Entonova Rotterdam Processing Hub,Barres protéinées,16,2021-01-01,26,14
Entonova Rotterdam Processing Hub,Barres protéinées,16,2021-01-01,29,13
Entonova Rotterdam Processing Hub,Barres protéinées,15,2021-01-01,32,12
Entonova Rotterdam Processing Hub,Barres protéinées,23,2021-01-01,34,21
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,26,2
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,23,3
Entonova Brest Bioproduction Plant,Huile d'insectes,2,2021-01-01,21,4
Entonova Brest Bioproduction Plant,Huile d'insectes,28,2021-01-01,24,25
Entonova Brest Bioproduction Plant,Huile d'insectes,29,2021-01-01,29,24
Entonova Brest Bioproduction Plant,Huile d'insectes,29,2021-01-01,36,22
Entonova Brest Bioproduction Plant,Huile d'insectes,27,2021-01-01,42,21
Entonova Brest Bioproduction Plant,Huile d'insectes,24,2021-01-01,46,20
Entonova Brest Bioproduction Plant,Huile d'insectes,26,2021-01-01,53,19
Entonova Brest Bioproduction Plant,Huile d'insectes,24,2021-01-01,59,18
Entonova Brest Bioproduction Plant,Huile d'insectes,20,2021-01-01,63,16
Entonova Brest Bioproduction Plant,Huile d'insectes,18,2021-01-01,66,15
Entonova Brest Bioproduction Plant,Huile d'insectes,17,2021-01-01,69,14
Entonova Brest Bioproduction Plant,Huile d'insectes,11,2021-01-01,67,13
Entonova Brest Bioproduction Plant,Huile d'insectes,3,2021-01-01,58,12
Entonova Brest Bioproduction Plant,Huile d'insectes,7,2021-01-01,54,11
Entonova Brest Bioproduction Plant,Huile d'insectes,11,2021-01-01,55,10
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,46,9
Entonova Brest Bioproduction Plant,Huile d'insectes,4,2021-01-01,42,8
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,35,7
Entonova Brest Bioproduction Plant,Huile d'insectes,5,2021-01-01,34,6
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,29,5
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,20,2021-01-01,12,15
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,18,2021-01-01,11,16
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,23,2021-01-01,17,18
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,23,2021-01-01,21,19
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,2,2021-01-01,2,2
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,1,2021-01-01,2,1
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,2,0
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,14,2021-01-01,84,16
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,6,2021-01-01,75,15
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,5,2021-01-01,67,13
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,13,2021-01-01,68,12
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,2,2021-01-01,59,11
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,3,2021-01-01,0,3
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,6,2021-01-01,55,10
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,47,8
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,40,7
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,34,6
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,29,5
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,25,4
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,22,3
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,20,2
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,19,1
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,12,2021-01-01,22,9
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,5,2021-01-01,3,4
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,5,2021-01-01,0,5
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,8,2021-01-01,2,6
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,45,2021-01-01,14,33
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,37,2021-01-01,12,28
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,36,2021-01-01,21,27
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,28,2021-01-01,16,26
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,30,2021-01-01,27,24
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,28,2021-01-01,33,22
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,28,2021-01-01,40,21
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,26,2021-01-01,46,20
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,26,2021-01-01,53,19
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,24,2021-01-01,59,18
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,18,2021-01-01,18,16
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,19,2021-01-01,22,15
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,17,2021-01-01,25,14
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,14,2021-01-01,26,13
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,11,2021-01-01,59,11
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,49,10
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,12,2021-01-01,29,9
Entonova Rotterdam Processing Hub,Protéines d'insectes pour alimentation animale,10,2021-01-01,31,8
Entonova Barcelona Protein Facility,Protéines d'insectes pour alimentation animale,0,2021-01-01,42,7
Entonova Barcelona Protein Facility,Ingrédients protéiques pour nutrition sportive,0,2021-01-01,22,0
Entonova Rotterdam Processing Hub,Barres protéinées,13,2021-01-01,36,11
Entonova Brest Bioproduction Plant,Huile d'insectes,33,2021-01-01,34,28
Entonova Brest Bioproduction Plant,Huile d'insectes,32,2021-01-01,40,26
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,38,2
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,37,1
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,37,0
Entonova Brest Bioproduction Plant,Insectes en vrac,6,2021-01-01,1,5
Entonova Brest Bioproduction Plant,Insectes en vrac,4,2021-01-01,1,4
Entonova Brest Bioproduction Plant,Insectes en vrac,3,2021-01-01,1,3
Entonova Kraków Insect Farm,Insectes en vrac,2,2021-01-01,0,2
Entonova Brest Bioproduction Plant,Insectes en vrac,1,2021-01-01,1,1
Entonova Brest Bioproduction Plant,Huile d'insectes,0,2021-01-01,34,3
Entonova Kraków Insect Farm,Insectes en vrac,0,2021-01-01,0,0
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,40,2021-01-01,21,30
Entonova Rotterdam Processing Hub,Farine protéique pour alimentation humaine,34,2021-01-01,26,29
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,31,2021-01-01,24,28
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,32,2021-01-01,30,26
Entonova Barcelona Protein Facility,Farine protéique pour alimentation humaine,31,2021-01-01,36,25
